id_zawodnika	imie	nazwisko
1	Adam	Nowak
2	Jan	Kowalski
3	Piotr	Wisniewski
4	Michal	Wojcik
5	Tomasz	Kaczmarek
6	Pawel	Mazur
7	Mateusz	Kubiak
8	Krzysztof	Sikora
9	Lukasz	Zielinski
10	Marcin	Kaminski
11	Jakub	Jankowski
12	Rafal	Jaworski
13	Grzegorz	Pawlak
14	Dawid	Michalak
15	Kamil	Stepien
16	Maciej	Baran
17	Szymon	Czarnecki
18	Artur	Chmielewski
19	Filip	Wrobel
20	Patryk	Kozlowski
21	Sebastian	Gorski
22	Adrian	Majewski
23	Norbert	Bak
24	Konrad	Sobczak
25	Hubert	Sadowski
26	Damian	Olejniczak
27	Mariusz	Wilk
28	Bartosz	Pawlowski
29	Radoslaw	Duda
30	Oskar	Ciesielski
31	Wojciech	Sikorski
32	Lukasz	Glowacki
33	Jakub	Krawczyk
34	Tomasz	Milewski
35	Michal	Wawrzyniak
36	Pawel	Krol
37	Mateusz	Sadowski
38	Krzysztof	Lis
39	Marcin	Wlodarczyk
40	Jakub	Kubiak
41	Rafal	Sawicki
42	Grzegorz	Witkowski
43	Dawid	Zawadzki
44	Kamil	Sokolowski
45	Maciej	Stasiak
46	Szymon	Marciniak
47	Artur	Krajewski
48	Filip	Piotrowski
49	Patryk	Nowicki
50	Sebastian	Wieczorek
51	Adrian	Wysocki
52	Norbert	Leszczynski
53	Konrad	Bielawski
54	Hubert	Kurek
55	Damian	Kaminski
56	Mariusz	Krupa
57	Bartosz	Kaczor
58	Radoslaw	Tomaszewski
59	Oskar	Michalski
60	Wojciech	Kaczmarek
